instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persRole,persSuffix,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿san.nm.0075,﻿chapel,[Unnamed Institution],English,,,﻿Mausano,,,﻿Chilili,﻿Chilili,﻿NM,,34.889497,-106.232802,﻿san.nm.0074,﻿Chapel attended from Mausano,,,,,,,,,,,,1865,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0076,﻿chapel,[Unnamed Institution],English,,,﻿Mausano,,,﻿Torreon,﻿Torreon,﻿NM,,34.72228,-106.298631,﻿san.nm.0074,﻿Chapel attended from Mausano,,,,,,,,,,,,1865,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0077,﻿chapel,[Unnamed Institution],English,,,﻿Mausano,,,﻿Tajique,﻿Tajique,﻿NM,,34.751724,-106.287798,﻿san.nm.0074,﻿Chapel attended from Mausano,,,,,,,,,,,,1865,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0236,﻿chapel,[Unnamed Institution],English,,,﻿Mausano,,,﻿La Cienega,﻿La Cienega,﻿NM,,35.573611,-106.125556,﻿san.nm.0074,﻿Chapel attended from Mausano,,,,,,,,,,,,1865,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0088,﻿church,﻿Church of San Lorenzo,English,,﻿Indian Pueblo,﻿Picuries,,,﻿Picuries,﻿Picuris Pueblo,﻿NM,,36.201896,-105.713113,,,,﻿j_s_tafoya_001,﻿Rev.,﻿Tafoya,,,,,,,,1865,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0090,﻿chapel,﻿Chapel of Na. Senora,English,,,﻿Picuries,,,﻿El Llano Largo,﻿Llano Largo,﻿NM,,36.129803,-105.655857,﻿san.nm.0088,﻿Attended from Picuries,,,,,,,,,,,,1865,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0091,﻿chapel,﻿San Juan Nepomuceno,English,,,﻿Picuries,,,,﻿Vadito,﻿NM,,36.140296,-105.681394,﻿san.nm.0088,﻿Attended from Picuries,,,,,,,,,,,,1865,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0092,﻿chapel,﻿Na. Senora de Dolores,English,,,﻿Picuries,,,,﻿Vadito,﻿NM,,36.191275,-105.66986,﻿san.nm.0088,﻿Attended from Picuries,,,,,,,,,,,,1865,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0201,﻿chapel,﻿Santa Barbara,English,,,﻿Picuries,,,,﻿Rodarte,﻿NM,,36.151662,-105.672037,﻿san.nm.0088,﻿Attended from Picuries,,,,,,,,,,,,1865,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0093,﻿chapel,﻿Chapel of San José,English,,,﻿Picuries,,,﻿Las Trampas,﻿Trampas,﻿NM,,36.131136,-105.758905,﻿san.nm.0088,﻿Attended from Picuries,,,,,,,,,,,,1865,﻿,﻿,﻿Santa Fe,SantaFe
