instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,NOTES,courses,Unnamed: 33,Unnamed: 34,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿lou.ky.0089_92,﻿convent,﻿Dominican Convent,English,,,,﻿Washington County,﻿Washington County,﻿Springfield,﻿Springfield,﻿KY,,37.693185,-85.262389,,,,﻿s_l_montgomery_901,﻿Rev.,﻿S. L. Montgomery,,,,﻿layperson,,﻿[under the direction of] the Dominicans,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0089_92,﻿convent,﻿Dominican Convent,English,,,,﻿Washington County,﻿Washington County,﻿Springfield,﻿Springfield,﻿KY,,37.693185,-85.262389,,,,﻿polin_901,﻿Rev.,﻿Thomas Polin,,,,﻿layperson,,﻿[under the direction of] the Dominicans,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0089_92,﻿convent,﻿Dominican Convent,English,,,,﻿Washington County,﻿Washington County,﻿Springfield,﻿Springfield,﻿KY,,37.693185,-85.262389,,,,﻿joh_h_mcgrady_901,﻿Rev.,﻿J. H. McGrady,,,,﻿layperson,,﻿[under the direction of] the Dominicans,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0089_92,﻿convent,﻿Dominican Convent,English,,,,﻿Washington County,﻿Washington County,﻿Springfield,﻿Springfield,﻿KY,,37.693185,-85.262389,,,,﻿cha_d_bowling_901,﻿Rev.,﻿C. D. Bowlin,,,,﻿layperson,,﻿[under the direction of] the Dominicans,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0089_92,﻿convent,﻿Dominican Convent,English,,,,﻿Washington County,﻿Washington County,﻿Springfield,﻿Springfield,﻿KY,,37.693185,-85.262389,,,,﻿jam_v_bullock_901,﻿Rev.,﻿J. V. Bullock,,,,﻿layperson,,﻿[under the direction of] the Dominicans,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0089_92,﻿convent,﻿Dominican Convent,English,,,,﻿Washington County,﻿Washington County,﻿Springfield,﻿Springfield,﻿KY,,37.693185,-85.262389,,,,﻿j_g_alliman_901,﻿Rev.,﻿A. G. Alliman,,,,﻿layperson,,﻿[under the direction of] the Dominicans,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0105,﻿college,﻿St. Joseph's College,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,﻿KY,37.811421,-85.471268,,,,﻿geo_a_elder_901,﻿Rev.,﻿George A. M. Elder,,﻿President,,﻿student,﻿150 students,,,1838,,"﻿No longer an active institution, now a whiskey museum. Here is info on its history: https://www.jesuits.org/our-work/shmr/what-we-have-learned/st-josephs-college-bardstown-kentucky/ ; https://en.wikipedia.org/wiki/Spalding_Hall","﻿The branches actually taught, are the languages, viz: Latin, Greek, French and Spanish, Mathematics, Latin and English Versification: Rhetoric, including composition and elocution, Mental Philosophy, Natural Philosophy, including the elements of Chemistry, Pneumatics, Electricity, Experimental Philosophy, History and Geography, with the use of the maps and globes, are taught with particular attention.",,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0105,﻿college,﻿St. Joseph's College,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.811421,-85.471268,,,,﻿jam_m_lancaster_001,﻿Rev.,﻿J. M. Lancaster,,﻿Vice President,,﻿student,﻿150 students,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0105,﻿college,﻿St. Joseph's College,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.811421,-85.471268,,,,﻿jos_rogers_901,﻿Rev.,﻿J. Rogers,,,,﻿student,﻿150 students,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0105,﻿college,﻿St. Joseph's College,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.811421,-85.471268,,,,﻿cha_i_coomes_001,﻿Rev.,﻿C. J. Coomes,,﻿Professor,,﻿student,﻿150 students,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
